Continent,Contry,City
AF,NG,Kaduna
AF,NG,Edo
AF,TZ,Morogoro
AF,TZ,Dodoma
AF,TZ,Zanzibar North
AF,TZ,Mwanza
AF,TZ,Dar es Salaam
AF,TZ,Katavi
AF,TZ,Kagera
AF,TZ,Mara
AF,TZ,Tabora
AF,TZ,Lindi
AF,TZ,Simiyu
AF,TZ,Geita
AF,TZ,Kilimanjaro
AF,TZ,Kigoma
AF,TZ,Arusha
AF,TZ,Zanzibar Central/South
AF,TZ,Mbeya
AF,CV,Porto Novo
AF,CV,Praia
AF,CV,Maio
AF,CV,Boa Vista
AF,CV,Sao Filipe
AF,TZ,Tanga
AF,TZ,Zanzibar Urban/West
AF,NG,Ondo
AF,NG,Enugu
AF,NG,Anambra
AF,NG,Imo
AF,NG,Kebbi
AF,NG,Ogun
AF,NG,Ekiti
AF,NG,Rivers
AF,NG,Gombe
AN,GS,
AN,AQ,
AS,BD,Mymensingh Division
AS,SY,Daraa
AS,SY,Idlib
AS,SY,Tartus
AS,SY,Aleppo
AS,SY,Quneitra
AS,SY,Rif-dimashq
AS,SY,Al-Hasakah
AS,SY,As-Suwayda
AS,NP,Province 5
AS,NP,Mid Western
AS,NP,Province 1
AS,NP,Bagmati Province
AS,NP,Province 2
AS,NP,Gandaki Pradesh
AS,NP,Central Region
AS,NP,Western Region
AS,NP,Sudurpashchim Pradesh
AS,NP,Karnali Pradesh
AS,NP,Province 3
AS,NP,Lumbini Province
AS,SY,Homs
AS,SY,Latakia
AS,SY,Ar-Raqqah
AS,SY,Dimashq
AS,SY,Hama
AS,SY,Deir ez-Zor
AS,OM,Al Buraimi
AS,OM,Southeastern Governorate
AS,OM,Al Batinah South
AS,CN,Yunnan
AS,TW,Taipei
AS,TW,Fukien
AS,TW,Kaohsiung
AS,TW,Taiwan
AS,TR,Karaman
AS,TR,İzmir
AS,TR,Kütahya
AS,TR,Kırıkkale
AS,TR,Tunceli
AS,TR,Kırşehir
AS,TR,Şırnak
AS,TR,Şanlıurfa
AS,TR,Konya
AS,TR,Sivas
AS,TR,Düzce
AS,TR,Kocaeli
AS,TR,Adana
AS,TR,Kilis
AS,TR,Adıyaman
AS,TR,Afyonkarahisar
AS,TR,Sinop
AS,TR,Aksaray
AS,TR,Çorum
AS,TR,Diyarbakır
AS,TR,Çankırı
AS,TR,Edirne
AS,TR,Elazığ
AS,TR,Rize
AS,TR,Zonguldak
AS,TR,Erzincan
AS,TR,Erzurum
AS,CN,Anhui
AS,CN,Tibet
AS,CN,Jiangsu
AS,CN,Hebei
AS,CN,Heilongjiang
AS,CN,Shandong
AS,CN,Henan
AS,CN,Guangdong
AS,CN,Guizhou
AS,CN,Qinghai
AS,CN,Shanxi
AS,CN,Guangxi
AS,CN,Zhejiang
AS,CN,Ningxia Hui Autonomous Region
AS,CN,Beijing
AS,CN,Hainan
AS,CN,Jiangxi
AS,CN,Gansu
AS,CN,Fujian
AS,CN,Shaanxi
AS,CN,Sichuan
AS,CN,Liaoning
AS,CN,Inner Mongolia
AS,CN,Tianjin
AS,CN,Jilin
AS,CN,Xinjiang
AS,CN,Hunan
AS,CN,Chongqing
AS,CN,Hubei
AS,CN,Shanghai
AS,OM,Al Wusţá
AS,OM,Musandam
AS,OM,Muscat
AS,OM,Northeastern Governorate
AS,UZ,Tashkent
AS,UZ,Jizzax
AS,UZ,Xorazm
AS,OM,Ad Dakhiliyah
AS,UZ,Toshkent
AS,UZ,Navoiy
AS,UZ,Fergana
AS,UZ,Sirdaryo Region
AS,UZ,Karakalpakstan
AS,UZ,Andijon
AS,UZ,Surxondaryo
AS,OM,Dhofar
AS,OM,Az̧ Z̧āhirah
AS,OM,Al Batinah North
AS,PH,Davao
AS,PH,National Capital Region
AS,PH,Eastern Visayas
AS,PH,Caraga
AS,PH,Central Luzon
AS,PH,Soccsksargen
AS,TR,Eskişehir
AS,TR,Siirt
AS,TR,Kayseri
AS,TR,Kastamonu
AS,TR,Kars
AS,TR,Karabük
AS,TR,Amasya
AS,TR,Malatya
AS,TR,Ankara
AS,TR,Kahramanmaraş
AS,TR,Denizli
AS,TR,Yozgat
AS,TR,Antalya
AS,TR,Trabzon
AS,TR,Mardin
AS,TR,Ardahan
AS,TR,Artvin
AS,TR,Yalova
AS,TR,Iğdır
AS,TR,Aydın
AS,TR,Uşak
AS,TR,Ağrı
AS,TR,Samsun
AS,TR,Isparta
AS,PH,Cagayan Valley
AS,PH,Bicol
AS,LA,Khammouan
AS,CC,
AS,UZ,Namangan
AS,UZ,Toshkent Shahri
AS,UZ,Samarqand
AS,UZ,Bukhara
AS,UZ,Qashqadaryo
AS,PH,Western Visayas
AS,PH,Northern Mindanao
AS,VN,Kiến Giang
AS,VN,Đồng Tháp
AS,VN,Bắc Giang
AS,VN,Bắc Kạn
AS,VN,Bắc Ninh
AS,VN,Thái Bình
AS,VN,Quảng Bình
AS,VN,Da Nang
AS,VN,Quảng Nam
AS,VN,Cà Mau
AS,VN,Sơn La
AS,VN,Tây Ninh Province
AS,PH,Ilocos
AS,PH,Calabarzon
AS,PH,Autonomous Region in Muslim Mindanao
AS,PH,Cordillera
AS,PH,Zamboanga Peninsula
AS,PH,Mimaropa
AS,PH,Central Visayas
AS,BT,Geylegphug
AS,BT,Chukha
AS,BT,Tongsa
AS,BT,Thimphu
AS,BT,Wangdi Phodrang
AS,VN,Sóc Trăng
AS,VN,Thái Nguyên
AS,VN,Bạc Liêu
AS,VN,Đồng Nai
AS,VN,Haiphong
AS,VN,Bình Định
AS,VN,Tuyên Quang
AS,VN,Đắk Lắk
AS,VN,Can Tho
AS,VN,Thừa Thiên-Huế
AS,VN,Bình Thuận
AS,VN,Yên Bái
AS,VN,Kon Tum
AS,VN,An Giang
AS,VN,Cao Bằng
AS,VN,Bình Phước
AS,VN,Bình Dương
AS,VN,Lạng Sơn
AS,MY,Putrajaya
AS,MY,Kelantan
AS,MY,Melaka
AS,MY,Negeri Sembilan
AS,MY,Pahang
AS,MY,Terengganu
AS,MY,Perlis
AS,MY,Penang
AS,MY,Sabah
AS,MY,Labuan
AS,VN,Bà Rịa-Vũng Tàu
AS,VN,Lâm Đồng
AS,VN,Trà Vinh
AS,VN,Thanh Hóa
AS,VN,Hanoi
AS,VN,Ðắk Nông
AS,VN,Nam Định
AS,VN,Vĩnh Long
AS,VN,Phú Yên
AS,MY,Perak
AS,MY,Kedah
AS,MY,Kuala Lumpur
AS,MY,Sarawak
AS,MY,Selangor
AS,MY,Johor
AS,VN,Quảng Ngãi Province
AS,VN,Quảng Ninh
AS,VN,Long An
AS,VN,Vĩnh Phúc
AS,VN,Hậu Giang
AS,VN,Phú Thọ
AS,TH,Trat
AS,TH,Kamphaeng Phet
AS,TH,Chai Nat
AS,TH,Sukhothai
AS,TH,Phra Nakhon Si Ayutthaya
AS,TH,Bueng Kan
AS,TH,Lampang
AS,TH,Suphanburi
AS,TH,Surat Thani
AS,TH,Surin
AS,TH,Mae Hong Son
AS,TH,Amnat Charoen
AS,TH,Maha Sarakham
AS,TH,Rayong
AS,TR,Balıkesir
AS,TR,Van
AS,TR,Niğde
AS,TR,Kırklareli
AS,TR,Bartın
AS,TR,Nevşehir
AS,TR,Gaziantep
AS,TR,Batman
AS,TH,Phitsanulok
AS,TH,Songkhla
AS,TH,Si Sa Ket
AS,TH,Samut Songkhram
AS,TH,Phichit
AS,TH,Phetchaburi
AS,TH,Kanchanaburi
AS,TH,Phrae
AS,TH,Kalasin
AS,TH,Phuket
AS,TH,Lamphun
AS,TH,Uthai Thani
AS,TH,Roi Et
AS,VN,Lào Cai
AS,VN,Hải Dương
AS,MV,Haa Dhaalu Atholhu
AS,MV,Baa Atholhu
AS,MV,Raa Atoll
AS,MV,Gaafu Dhaalu Atoll
AS,MV,Seenu
AS,MV,Gaafu Alifu Atholhu
AS,MV,Gaafu Alif Atoll
AS,MV,Kaafu Atoll
AS,VN,Hưng Yên
AS,VN,Hòa Bình
AS,VN,Ðiện Biên
AS,TR,Tokat
AS,VN,Gia Lai
AS,VN,Khánh Hòa
AS,VN,Ninh Thuận
AS,VN,Ninh Bình
AS,VN,Hà Tĩnh
AS,VN,Quảng Trị
AS,VN,Tiền Giang
AS,TR,Bayburt
AS,TR,Osmaniye
AS,GE,Mtskheta-Mtianeti
AS,GE,Imereti
AS,GE,Racha-Lechkhumi and Kvemo Svaneti
AS,GE,Shida Kartli
AS,GE,Abkhazia
AS,GE,Samtskhe-Javakheti
AS,GE,Kvemo Kartli
AS,GE,Achara
AS,GE,Kakheti
AS,GE,Samegrelo and Zemo Svaneti
AS,GE,Guria
AS,GE,T'bilisi
AS,GE,Ajaria
AS,TR,Bilecik
AS,BN,Brunei-Muara
AS,BN,Belait
AS,VN,Hà Nam
AS,TH,Loei
AS,TH,Trang
AS,VN,
AS,VN,Nghệ An
AS,VN,Ho Chi Minh
AS,VN,Lai Châu
AS,BH,Northern Governorate
AS,BH,Muharraq
AS,BH,Manama
AS,BH,Southern Governorate
AS,PK,Punjab
AS,PK,Islamabad
AS,PK,Azad Kashmir
AS,PK,Sindh
AS,PK,Balochistan
AS,PK,Khyber Pakhtunkhwa
AS,PK,Gilgit-Baltistan
AS,TR,Bingöl
AS,TR,Giresun
AS,TR,Bitlis
AS,PS,Gaza Strip
AS,PS,West Bank
AS,PS,
AS,QA,Madīnat ash Shamāl
AS,QA,Baladīyat ad Dawḩah
AS,QA,Al Khor
AS,QA,Baladīyat az̧ Z̧a‘āyin
AS,TR,Mersin
AS,TR,Muş
AS,QA,Al-Shahaniya
AS,QA,Baladīyat ar Rayyān
AS,QA,Al Wakrah
AS,TH,Phetchabun
AS,TH,Nakhon Si Thammarat
AS,MO,
AS,MO,Sé
AS,MO,Cotai
AS,MN,Hövsgöl
AS,MN,Hovd
AS,MN,Ulaanbaatar
AS,MN,Central
AS,MN,East Govĭ
AS,MN,Eastern
AS,MN,Orhon
AS,MM,Shan
AS,QA,Baladīyat Umm Şalāl
AS,TR,Ordu
AS,TR,Muğla
AS,TR,Tekirdağ
AS,TR,Bolu
AS,TR,Istanbul
AS,TR,Hatay
AS,TR,Burdur
AS,TR,Bursa
AS,TR,Hakkâri
AS,TR,Gümüşhane
AS,TR,Canakkale
AS,TR,Sakarya
AS,TR,Manisa
AS,SA,'Asir
AS,SA,Northern Borders Region
AS,SA,Al Madīnah al Munawwarah
AS,SA,Najran Region
AS,SA,Eastern Province
AS,SA,Riyadh Region
AS,SA,Al Jawf Region
AS,SA,Al Bahah Region
AS,BD,Rajshahi Division
AS,BD,Sylhet
AS,BD,Barisāl
AS,BD,Rangpur Division
AS,BD,Khulna
AS,BD,Chittagong
AS,BD,Dhaka
AS,VN,Hà Giang
AS,VN,Bến Tre
AS,SA,Makkah
AS,SA,Al-Qassim
AS,SA,Al-Qassim Region
AS,SA,Ar Riyāḑ
AS,SA,Ha'il Region
AS,SA,Jazan Region
AS,SA,Medina Region
AS,YE,Aden
AS,TM,Daşoguz
AS,HK,North
AS,HK,Sai Kung
AS,HK,New Territories
AS,HK,Yau Tsim Mong
AS,HK,Central and Western
AS,HK,Kwun Tong
AS,HK,Wong Tai Sin
AS,HK,Eastern
AS,HK,Tai Po
AS,HK,Wan Chai
AS,HK,Kwai Tsing
AS,HK,Islands
AS,HK,Yuen Long
AS,HK,Tuen Mun
AS,HK,Sha Tin
AS,HK,Southern
AS,HK,Kowloon City
AS,HK,Sham Shui Po
AS,HK,Tsuen Wan
AS,TM,Lebap
AS,TM,Ahal
AS,TM,Ashgabat
AS,TM,Mary
AS,TJ,Sughd
AS,TJ,Republican Subordination
AS,TJ,Gorno-Badakhshan
AS,TJ,Dushanbe
AS,TJ,Khatlon
AS,TH,Khon Kaen
AS,TH,Yasothon
AS,TH,Ranong
AS,TH,Pattani
AS,TH,Nakhon Pathom
AS,TH,Nong Bua Lam Phu
AS,TH,Ubon Ratchathani
AS,MM,Kayin
AS,MM,Rangoon
AS,MM,Nay Pyi Taw
AS,MM,Magway
AS,MM,Chin
AS,MM,Tanintharyi
AS,MM,Mon
AS,MM,Rakhine
AS,MM,Kayah
AS,MM,Bago
AS,MM,Kachin
AS,MM,Sagain
AS,MM,Mandalay
AS,SA,Mecca Region
AS,SA,'Asir Region
AS,SA,Tabuk Region
AS,AZ,Balakǝn
AS,AZ,Shirvan
AS,AZ,Qǝbǝlǝ
AS,TH,Ang Thong
AS,TH,Uttaradit
AS,TH,Chon Buri
AS,TH,Prachin Buri
AS,TH,Saraburi
AS,TH,Chiang Rai
AS,AZ,Goygol Rayon
AS,AZ,Astara
AS,AZ,Baki
AS,AZ,Saatlı
AS,AZ,Şǝmkir
AS,AZ,Nakhichevan
AS,AZ,Qusar
AS,AZ,Şamaxı
AS,AZ,Naftalan
AS,AZ,Samux
AS,AZ,Mingǝcevir
AS,AZ,Quba
AS,TH,Chachoengsao
AS,TH,Buriram
AS,AZ,Qobustan
AS,AZ,Barda
AS,AZ,İsmayıllı
AS,AZ,İmişli
AS,AZ,Salyan
AS,AZ,Zaqatala
AS,AZ,Jalilabad
AS,ID,West Nusa Tenggara
AS,ID,East Nusa Tenggara
AS,ID,South Sulawesi
AS,ID,Riau
AS,ID,North Sumatra
AS,ID,Riau Islands
AS,ID,Aceh
AS,ID,North Maluku
AS,ID,South Kalimantan
AS,ID,Lampung
AS,ID,North Sulawesi
AS,ID,Maluku
AS,ID,Central Java
AS,ID,East Java
AS,ID,South Sumatra
AS,ID,North Kalimantan
AS,ID,Gorontalo
AS,ID,Bali
AS,ID,Yogyakarta
AS,ID,Jambi
AS,ID,Central Sulawesi
AS,ID,Jakarta
AS,ID,Bangka–Belitung Islands
AS,ID,Bengkulu
AS,ID,West Sulawesi
AS,ID,Banten
AS,ID,Southeast Sulawesi
AS,ID,East Kalimantan
AS,ID,West Java
AS,ID,West Sumatra
AS,ID,West Kalimantan
AS,ID,Central Kalimantan
AS,ID,West Papua
AS,ID,Papua
AS,AZ,Beyləqan
AS,AZ,Xaçmaz
AS,AZ,Sumqayit
AS,AZ,Abşeron
AS,IL,Southern District
AS,IL,Northern District
AS,IL,
AS,IL,Judea and Samaria Area
AS,IL,Haifa
AS,IL,Central District
AS,IL,Jerusalem
AS,IL,Tel Aviv
AS,AZ,Füzuli
AS,AZ,Hacıqabul
AS,LA,Louangphabang
AS,AZ,Qax
AS,AZ,Daşkǝsǝn
AS,AZ,Shabran
AS,AZ,Gǝncǝ
AS,AZ,Masally
AS,AZ,Tovuz
AS,AZ,Göyçay
AS,AZ,Xızı
AS,YE,Amanat Alasimah
AS,YE,Al Bayda
AS,YE,Hadramaout
AS,YE,Ibb
AS,YE,Shabwah
AS,YE,Omran
AS,YE,Ḩajjah
AS,IN,Dadra and Nagar Haveli
AS,IN,Jharkhand
AS,IN,Delhi
AS,IN,Arunachal Pradesh
AS,IN,Haryana
AS,IN,Gujarat
AS,IN,Uttar Pradesh
AS,IN,Jammu and Kashmir
AS,IN,Andaman and Nicobar
AS,IN,Sikkim
AS,IN,Tamil Nadu
AS,IN,West Bengal
AS,IN,Karnataka
AS,IN,Andhra Pradesh
AS,IN,Nagaland
AS,IN,Assam
AS,IN,Uttarakhand
AS,IN,Bihar
AS,IN,Chandigarh
AS,IN,Mizoram
AS,IN,Dadra and Nagar Haveli and Daman and Diu
AS,IN,Maharashtra
AS,IN,Lakshadweep
AS,IN,Madhya Pradesh
AS,IN,Ladakh
AS,IN,Tripura
AS,IN,Odisha
AS,IN,Telangana
AS,IN,Punjab
AS,IN,Goa
AS,IN,Meghalaya
AS,IN,Rajasthan
AS,IN,Manipur
AS,IN,Himachal Pradesh
AS,IN,Chhattisgarh
AS,IN,Kerala
